Unnamed: 0,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2774445836787656,0,0,1,0,0,0,0,1,-1.1603229160349193,0,False,False,False,False,False,True,False
1,0,0,0,0.06632741908223598,0,1,0,1,0,0,0,0,-0.2596289419448806,0,False,False,True,False,False,False,True
2,0,0,0,-1.2367242199587352,0,1,1,0,0,0,0,1,-0.3626603559551803,1,False,False,False,False,False,False,True
3,0,0,0,0.5142514200025698,0,1,0,1,1,0,0,0,-0.7465354629935549,0,False,False,True,False,False,False,False
4,0,0,0,-1.2367242199587352,0,0,0,0,0,0,0,1,0.19736523310080326,1,True,False,False,False,False,True,False
5,0,0,0,-0.9924020376385531,1,0,0,1,0,1,1,1,1.1595456961969886,1,True,False,False,False,False,True,False
6,0,0,1,-0.4223169455581282,1,0,1,0,0,1,0,1,0.8089065291619363,0,True,False,False,False,True,False,False
7,0,0,0,-0.9109613101984924,0,1,0,0,0,0,0,0,-1.1636465100352518,0,False,False,False,False,False,False,True
8,0,1,0,-0.1779947632379461,1,0,0,1,1,1,1,1,1.330710787214099,1,True,False,False,False,False,True,False
9,0,0,1,1.2064976032430856,0,1,1,0,0,0,0,0,-0.28621769394753876,0,False,False,True,False,False,False,False
10,0,1,1,-0.7888002190384014,0,1,0,0,0,0,0,1,-0.4922805219681379,0,False,False,False,False,False,False,True
11,0,0,0,-0.6666391278783103,0,0,0,0,0,0,0,0,-1.5225946620711341,0,False,True,False,True,True,False,False
12,0,1,0,1.0436161483629645,1,0,0,1,0,1,1,0,1.182810854199314,0,True,False,True,False,True,False,False
13,0,0,0,0.6771328748826912,1,0,1,1,0,1,1,1,1.2941512532104444,1,True,False,False,False,False,False,False
14,0,0,0,-0.30015585439803716,0,1,0,1,1,1,1,1,1.3539759452164248,0,True,False,False,False,False,True,False
15,0,1,1,1.4915401492832983,1,1,1,1,1,1,1,0,1.611554480242174,0,True,False,False,True,True,False,False
16,0,0,0,0.7992939660427822,0,0,0,0,0,0,0,0,-1.4660935640654862,0,False,True,True,False,False,False,True
17,0,0,1,1.5729808767233588,1,1,0,1,0,1,1,0,1.393859073220412,0,True,False,False,True,False,False,False
18,0,1,1,-0.9109613101984924,0,0,0,1,1,0,0,0,-0.31779183695069496,1,False,False,False,False,True,False,False
19,0,0,0,-0.46303730927815856,0,0,1,1,0,0,1,1,0.8404806721650927,0,True,False,False,False,False,True,False
