Unnamed: 0,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
3738,0,0,0,0.1070477828022663,0,0,0,1,0,1,1,0,-0.5172074769706297,False,False,False,False,False,True,False
3151,0,1,1,-0.7073594915983407,0,1,0,0,0,0,0,0,0.3436033691154218,True,False,False,False,False,False,True
4860,0,1,1,-0.7888002190384014,0,1,1,0,1,0,0,0,-0.8046983579993692,False,False,False,True,False,False,True
3867,0,1,0,-0.2594354906780068,0,0,1,1,0,1,1,1,0.290425865110106,False,False,False,True,True,False,False
3810,0,1,1,-1.2774445836787656,0,0,0,0,0,0,0,0,-0.6717545979860794,False,False,False,False,False,True,False
2666,0,0,1,1.369379058123207,0,0,1,1,1,1,1,1,0.4898415051300408,False,False,False,True,True,False,False
2645,0,0,0,-1.2774445836787656,0,0,0,0,0,0,0,0,-1.4943441130683104,False,True,False,False,True,False,False
189,0,1,0,0.3106496014024181,1,0,1,0,0,0,0,0,-0.2712615209460435,False,False,False,False,True,False,False
5767,0,1,0,1.3286586944031769,0,0,0,0,1,1,0,1,-0.1649065129354117,False,False,False,True,True,False,False
2257,0,0,0,1.125056875803025,1,0,0,1,1,1,1,0,0.5247392421335293,False,False,True,False,True,False,False
2641,1,0,0,-1.1145631287986442,0,1,1,0,1,0,0,0,-0.1615829189350795,False,False,False,False,True,False,False
6950,0,1,1,-1.1145631287986442,0,1,0,0,0,0,0,1,-0.5105602889699654,False,False,False,False,False,False,True
3938,0,0,0,-1.2367242199587352,0,1,0,0,0,0,0,0,-0.4590445819648154,False,False,False,False,False,False,True
2764,0,1,1,-0.0965540357978854,1,1,1,1,1,0,0,0,0.0943338190905033,False,False,False,False,False,True,False
3113,0,1,0,0.1477681465222966,1,0,0,0,0,1,1,1,1.0182929511828682,True,False,False,False,False,True,False
2986,0,1,1,0.9214550572028734,0,0,0,0,0,0,0,1,0.142525932095321,True,False,False,True,True,False,False
5427,0,0,0,-0.055833672077855,1,1,0,1,0,0,0,1,0.6643301901474837,True,False,False,False,True,False,False
328,1,1,1,-0.1779947632379461,0,0,0,0,0,1,0,1,-0.9592454790148186,False,False,False,False,False,True,False
11,0,0,0,-0.6666391278783103,0,0,0,0,0,0,0,0,-1.522594662071134,False,True,False,True,True,False,False
4559,0,0,0,-1.0738427650786138,0,0,0,0,0,0,0,0,-1.4827115340671475,False,True,False,False,False,False,False
6271,1,1,0,-0.2187151269579764,1,1,0,1,0,0,0,1,0.7025515211513048,True,False,True,False,False,True,False
6234,0,0,0,1.0436161483629645,1,0,0,0,0,0,0,1,-1.3115464430500368,False,True,False,True,True,False,False
3741,0,1,1,1.6137012404433893,1,1,1,1,1,0,1,1,1.3340343812144315,True,False,False,True,True,False,False
6937,0,0,0,-0.1779947632379461,0,0,0,1,1,0,0,1,-0.9642308700153168,False,False,False,False,False,False,True
622,0,1,1,0.3106496014024181,0,0,0,1,0,1,0,1,0.6743009721484804,True,False,True,False,False,True,False
6969,0,0,0,-1.2774445836787656,0,0,0,0,0,0,0,0,-1.4710789550659844,False,True,False,False,False,False,True
1056,0,0,0,-1.1145631287986442,0,0,0,0,0,0,1,1,0.5064594751317021,True,False,False,False,False,True,False
6491,0,0,0,-1.2774445836787656,0,0,0,0,0,0,0,1,0.1475113230958195,True,False,False,False,False,True,False
2582,0,0,1,-0.8295205827584317,1,0,1,1,0,1,1,1,1.3473287572157604,True,False,False,False,False,True,False
478,0,0,0,-1.1145631287986442,0,0,0,0,1,1,1,1,1.0415581091851935,True,False,False,False,False,True,False
2935,0,1,0,1.5729808767233588,0,1,1,1,1,1,1,1,0.7091987091519689,False,False,False,True,False,False,False
1236,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,1,0.4050898581215686,True,False,False,False,False,True,False
6321,0,1,0,-0.0965540357978854,0,0,0,0,0,0,0,0,-1.4993295040688086,False,True,False,False,False,False,False
2414,0,1,0,-0.3001558543980371,0,0,0,0,0,0,0,1,-1.481049737066981,False,True,True,False,False,False,False
4805,0,1,1,0.7992939660427822,1,0,0,0,0,0,0,0,-1.3364733980525287,False,True,False,True,False,False,True
785,1,0,0,0.5549717837226001,1,1,1,1,0,1,1,1,1.503537675231376,True,False,True,False,False,True,False
577,0,0,0,-0.9516816739185228,0,0,0,0,0,0,0,1,0.1907180451001386,True,False,False,False,False,True,False
5704,0,1,0,-0.5444780367182193,1,0,0,0,0,1,0,1,0.7341256641544608,True,False,False,False,False,True,False
1201,0,0,0,-0.8295205827584317,0,0,1,0,0,0,0,1,-0.5105602889699654,False,False,False,False,False,True,False
5488,1,1,0,0.5142514200025698,1,0,1,1,1,1,0,1,1.127971553193832,True,False,True,False,False,False,False
3253,0,1,1,0.1477681465222966,1,1,0,1,0,1,1,1,1.3207400052131024,True,False,False,False,True,False,False
7004,0,0,0,0.2292088739623573,1,0,1,1,0,0,1,1,1.0083221691818711,True,False,False,False,True,False,False
4392,0,1,1,-1.2774445836787656,0,0,0,0,0,0,0,0,-1.5142856770703037,False,True,False,False,False,False,True
4453,0,1,0,-0.9109613101984924,1,0,0,1,0,1,1,1,1.1213243651931677,True,False,False,False,False,True,False
6780,0,1,1,-0.7888002190384014,0,0,0,0,0,0,0,0,-0.6634456129852487,False,False,False,False,False,False,False
2564,0,0,0,-0.5851984004382496,1,0,0,1,1,1,1,1,0.572931355138347,False,False,True,False,True,False,False
5338,0,1,0,0.188488510242327,0,1,0,0,1,1,0,0,-0.6435040489832552,False,False,False,True,False,True,False
3128,0,0,1,-1.1145631287986442,0,0,0,0,0,0,0,0,-1.4760643460664828,False,True,False,False,True,False,False
3887,0,0,0,-0.8702409464784621,0,0,1,0,0,0,0,0,0.3386179781149237,True,False,False,False,False,True,False
4097,0,0,1,1.2879383306831464,0,0,1,0,1,1,1,1,1.1429277261953277,True,False,False,False,True,False,False
2652,0,0,0,-1.2774445836787656,0,0,0,0,0,0,1,0,-0.3061592579495322,False,False,False,False,False,False,True
6773,1,1,0,0.188488510242327,1,0,0,0,0,1,1,1,0.9219087251732327,True,False,False,False,False,True,False
1118,0,1,1,0.6364125111626608,1,1,1,0,0,1,1,1,1.3456669602155942,True,False,False,False,True,False,False
645,1,1,0,-0.5037576729981889,1,0,0,0,0,1,1,1,0.9900424021800438,True,False,False,False,False,True,False
